"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000175756","AURKAIP1",14947.1050604118,1049,14938.6901552349,1002
"ENSG00000242485","MRPL20",14362.3859316271,1178,14301.5513269519,1143
"ENSG00000160075","SSU72",15280.2810787584,978,15278.3712378065,921
"ENSG00000078369","GNB1",19527.9367094461,415,19422.0414174939,374
"ENSG00000187730","GABRD",14707.2958339035,1103,14276.8446194111,1147
"ENSG00000158109","TPRG1L",14524.8336990307,1153,14408.7523301254,1126
"ENSG00000069424","KCNAB2",17071.9867960424,691,17028.2313923558,645
"ENSG00000116254","CHD5",15000.1250546619,1040,14876.3097920554,1013
"ENSG00000116251","RPL22",20841.9822944491,304,20665.8698191179,261
"ENSG00000097021","ACOT7",16125.0679171113,839,15714.5407907114,851
"ENSG00000171735","CAMTA1",16544.5422541261,773,16493.8902309365,734
"ENSG00000116288","PARK7",18205.4306363596,542,17813.8151889018,543
"ENSG00000171603","CLSTN1",22579.3255226825,186,22011.6495089189,175
"ENSG00000142634","EFHD2",14093.9667014559,1242,14021.7747851263,1218
"ENSG00000159363","ATP13A2",13874.153604761,1295,13671.5130012267,1307
"ENSG00000117118","SDHB",10452.5817231385,2052,10401.5285615593,2045
"ENSG00000173436","MICOS10",17863.9536831992,587,17703.6700617956,556
"ENSG00000158747","NBL1",15755.7773252895,899,15681.8737255507,862
"ENSG00000162545","CAMK2N1",25417.3878533076,103,24230.7965393612,97
"ENSG00000158828","PINK1",18527.6720802408,504,17959.1817407297,528
"ENSG00000075151","EIF4G3",12633.478828889,1635,12390.8104052024,1674
"ENSG00000076864","RAP1GAP",15161.3416434187,1005,14965.5329799929,996
"ENSG00000070831","CDC42",16446.7956455734,789,16401.5866583245,745
"ENSG00000142676","RPL11",22290.6439340694,203,22245.3447151037,165
"ENSG00000057757","PITHD1",15180.0282050066,998,15105.8482539019,960
"ENSG00000117632","STMN1",26538.4455376602,87,24303.925471147,94
"ENSG00000130770","ATP5IF1",19901.6422962839,385,18626.5229535829,451
"ENSG00000134644","PUM1",12803.1171483522,1595,12657.2740261075,1591
"ENSG00000121769","FABP3",11190.2715333304,1969,11082.8659943843,1970
"ENSG00000121753","ADGRB2",16750.0324747799,744,16550.4375535688,726
"ENSG00000184007","PTP4A2",17337.099594231,652,17009.7126656766,647
"ENSG00000175130","MARCKSL1",30257.0551762586,54,27167.2462479705,50
"ENSG00000134684","YARS",12323.1349747544,1722,12297.6599065238,1695
"ENSG00000121905","HPCA",18756.0162988343,482,18394.8212076909,471
"ENSG00000020129","NCDN",22399.6856233159,198,22287.2817880231,162
"ENSG00000126067","PSMB2",12531.6322214475,1665,12520.4918127416,1633
"ENSG00000163875","MEAF6",12384.9590635476,1703,12352.489865284,1681
"ENSG00000197982","C1orf122",17835.5030530424,590,17602.0222300232,569
"ENSG00000168653","NDUFS5",21534.3711743201,257,20011.2092434182,319
"ENSG00000116983","HPCAL4",15743.1717129406,901,15629.3264463816,874
"ENSG00000131236","CAP1",13001.6933507559,1532,12983.4106302595,1485
"ENSG00000131238","PPT1",13843.7892298668,1303,13783.183329472,1268
"ENSG00000084070","SMAP2",13227.5158482395,1468,13197.4498756591,1428
"ENSG00000117016","RIMS3",14640.1767966641,1114,14621.0746807966,1069
"ENSG00000117410","ATP6V0B",18855.1409894102,475,18715.5537314813,437
"ENSG00000142937","RPS8",23224.1945067883,159,23168.0627129117,124
"ENSG00000173660","UQCRH",21077.3293226985,275,20331.8303211644,298
"ENSG00000123472","ATPAF1",13427.4186548748,1421,13398.0581406936,1377
"ENSG00000162374","ELAVL4",15032.4750079747,1035,14939.8498779172,1001
"ENSG00000123091","RNF11",19746.0897403393,400,19607.007053092,355
"ENSG00000085832","EPS15",15422.0744038259,953,15332.921913428,916
"ENSG00000162378","ZYG11B",12874.5372304188,1567,12854.6696936224,1530
"ENSG00000157216","SSBP3",15594.7361883247,928,15524.7509970898,890
"ENSG00000116133","DHCR24",14697.2691438579,1106,14444.5472628451,1119
"ENSG00000116675","DNAJC6",18451.1048289481,512,18245.8007433169,488
"ENSG00000172260","NEGR1",15492.8876387634,938,15033.2231626576,981
"ENSG00000154027","AK5",18766.4057305284,481,18527.9409944842,461
"ENSG00000077254","USP33",12199.7941329576,1761,12146.8599594311,1740
"ENSG00000142875","PRKACB",19617.8730697322,407,18664.3280474407,444
"ENSG00000117155","SSX2IP",13089.6734369657,1501,12956.4415968479,1492
"ENSG00000153904","DDAH1",18815.1191842542,480,18453.5775568228,466
"ENSG00000143013","LMO4",22717.1456706048,178,22418.8226062111,154
"ENSG00000189195","BTBD8",13961.2917839506,1273,13705.224716618,1295
"ENSG00000122406","RPL5",20105.611661917,366,20073.7460998966,316
"ENSG00000117600","PLPPR4",10928.7294299509,2004,10843.3731997077,2000
"ENSG00000085433","WDR47",13249.4799326464,1463,13102.3163548206,1456
"ENSG00000031698","SARS",14553.0461417908,1146,14270.2072442639,1150
"ENSG00000197106","SLC6A17",13465.4433429872,1411,13339.6735665929,1392
"ENSG00000177301","KCNA2",12510.7843962574,1672,12400.286590603,1670
