"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000175756","AURKAIP1",10313.0418742397,876,10305.386448433,869
"ENSG00000242485","MRPL20",9540.02263905681,1035,9527.89737566789,1028
"ENSG00000160075","SSU72",10325.1161708619,875,10324.1384409209,864
"ENSG00000078369","GNB1",16683.8017651228,272,16669.9435140172,266
"ENSG00000187730","GABRD",11743.2816648944,659,11631.2829620822,667
"ENSG00000158109","TPRG1L",10497.499784246,844,10491.31971628,836
"ENSG00000069424","KCNAB2",13900.9467852465,436,13894.1084621409,425
"ENSG00000116254","CHD5",10621.6613719236,820,10565.0342328289,820
"ENSG00000116251","RPL22",17479.8808016811,224,17420.4793995846,213
"ENSG00000097021","ACOT7",13570.0311410989,475,13503.0309379458,475
"ENSG00000171735","CAMTA1",8597.99912413794,1289,8551.81828717738,1287
"ENSG00000116288","PARK7",14533.4935631307,386,14493.7182144315,383
"ENSG00000171603","CLSTN1",19791.7321657711,111,19778.2799521614,106
"ENSG00000142634","EFHD2",8793.39306037049,1240,8787.28454547177,1226
"ENSG00000159363","ATP13A2",10667.0368742015,816,10620.0944228133,814
"ENSG00000117118","SDHB",6937.20379117454,1814,6921.16809651209,1810
"ENSG00000173436","MICOS10",13893.1196831401,438,13719.667392993,444
"ENSG00000158747","NBL1",11889.887589281,634,11818.1107282207,633
"ENSG00000162545","CAMK2N1",21385.2688821733,61,21365.2665134812,56
"ENSG00000158828","PINK1",14944.0007305387,356,14905.453647509,349
"ENSG00000075151","EIF4G3",7904.42455655595,1510,7892.34693899014,1501
"ENSG00000076864","RAP1GAP",12312.6768928652,582,12264.9311404599,583
"ENSG00000070831","CDC42",10674.9368597804,813,10654.3103135782,810
"ENSG00000142676","RPL11",19705.564943008,113,19582.9985765522,110
"ENSG00000057757","PITHD1",10542.8769860119,837,10531.0455750799,832
"ENSG00000117632","STMN1",22413.2522015541,41,22300.9125516127,36
"ENSG00000130770","ATP5IF1",16433.3253284402,278,16215.8023120973,278
"ENSG00000134644","PUM1",6471.53127247433,1927,6459.00655243588,1917
"ENSG00000121769","FABP3",10107.4079671105,915,9833.05363293224,957
"ENSG00000121753","ADGRB2",13204.3388163614,498,13026.7469164751,511
"ENSG00000184007","PTP4A2",9215.97153166141,1113,9165.7063436787,1109
"ENSG00000175130","MARCKSL1",14008.7615087705,426,13464.3768571896,477
"ENSG00000134684","YARS",8137.84123433915,1432,8129.99057434512,1412
"ENSG00000121905","HPCA",12371.6633143032,572,12284.0357387398,577
"ENSG00000020129","NCDN",20446.036870494,94,20396.2165525028,86
"ENSG00000126067","PSMB2",7489.34265136109,1646,7488.09097354342,1636
"ENSG00000163875","MEAF6",6906.47993398907,1825,6901.21872347035,1818
"ENSG00000197982","C1orf122",11818.5444891225,648,11804.7937167271,636
"ENSG00000168653","NDUFS5",17036.546272909,246,16908.0140787047,242
"ENSG00000116983","HPCAL4",10309.6778572281,877,10235.885014324,879
"ENSG00000131236","CAP1",7359.32988879283,1678,7346.19195871222,1672
"ENSG00000131238","PPT1",8102.7873232127,1447,8069.1404666602,1442
"ENSG00000084070","SMAP2",9428.93777239735,1056,9402.34353282996,1050
