"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000243485","MIR1302-2HG",152.927900307386,23648,130.688800508441,23644
"ENSG00000237613","FAM138A",0,32923.5,0,32923.5
"ENSG00000186092","OR4F5",0,32923.5,0,32923.5
"ENSG00000238009","AL627309.1",2056.37204726448,16780,1991.66104087914,16773
"ENSG00000239945","AL627309.3",41.3234643846888,27067,30.4062900535629,27257
"ENSG00000239906","AL627309.2",0,32923.5,0,32923.5
"ENSG00000241860","AL627309.5",7135.32953982056,13252,6820.48779429262,13325
"ENSG00000241599","AL627309.4",0,32923.5,0,32923.5
"ENSG00000286448","AP006222.2",0,32923.5,0,32923.5
"ENSG00000236601","AL732372.1",0,32923.5,0,32923.5
"ENSG00000284733","OR4F29",0,32923.5,0,32923.5
"ENSG00000235146","AC114498.1",0,32923.5,0,32923.5
"ENSG00000284662","OR4F16",0,32923.5,0,32923.5
"ENSG00000229905","AL669831.2",96.4282642561002,24893,83.3115954574999,24718
"ENSG00000237491","LINC01409",16497.7900243177,10175,16298.7631623158,10165
"ENSG00000177757","FAM87B",351.220387426823,21525,307.303067799725,21597
"ENSG00000228794","LINC01128",32219.7726398313,6401,32157.6756096506,6326
"ENSG00000225880","LINC00115",2091.39954295683,16746,2017.26590325142,16746
"ENSG00000230368","FAM41C",3012.49703564066,15746,2929.56332356803,15738
"ENSG00000272438","AL645608.6",77.2769881753089,25530,59.5027660235916,25615
"ENSG00000230699","AL645608.2",110.993912382616,24546,92.4455749862333,24522
"ENSG00000241180","AL645608.4",66.3996367036577,25717,47.3082401094447,26147
"ENSG00000223764","LINC02593",1184.19632811466,18236,1149.68509152279,18186
"ENSG00000187634","SAMD11",3805.01555943178,15072,3735.9229561969,15049
"ENSG00000188976","NOC2L",50713.0306337902,3414,50448.3567722592,3355
"ENSG00000187961","KLHL17",17908.2494443382,9764,17607.5066477241,9773
"ENSG00000187583","PLEKHN1",233.202308940763,22590,200.614490869296,22638
"ENSG00000187642","PERM1",642.76245439042,19889,599.033690867279,19897
"ENSG00000272512","AL645608.7",5630.71458713089,13970,5456.2410951264,13982
"ENSG00000188290","HES4",62814.5967553526,2199,61301.4506609909,2236
"ENSG00000187608","ISG15",47753.9946890769,3809,45977.5315953213,3942
"ENSG00000224969","AL645608.1",44.9734108827272,26551,35.2004714673512,26509
"ENSG00000188157","AGRN",37161.8579292606,5462,36406.5296374285,5490
"ENSG00000242590","AL645608.5",0,32923.5,0,32923.5
"ENSG00000273443","AL645608.8",0,32923.5,0,32923.5
"ENSG00000237330","RNF223",40.1704336662458,27235,31.2380879033427,27140
"ENSG00000131591","C1orf159",24595.239795652,8064,24251.2521323129,8062
"ENSG00000285812","AL390719.3",41.6644115722148,27000,33.3570767747771,26727
"ENSG00000223823","LINC01342",20.7759010355294,29063,16.2686027970494,28378
"ENSG00000272141","AL390719.2",88.5410046930627,25100,69.0815221885756,25130
"ENSG00000205231","TTLL10-AS1",41.6034019817678,27012,29.0549852628631,27348
"ENSG00000162571","TTLL10",82.4009398363532,25228,66.3827183500455,25237
