"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000175756","AURKAIP1",87551.0687093441,878,86264.5706959085,857
"ENSG00000242485","MRPL20",82429.3875227055,1066,81786.7833541184,1024
"ENSG00000160075","SSU72",84605.2075135427,987,84466.1127768481,915
"ENSG00000078369","GNB1",110350.660971557,388,109921.467071044,344
"ENSG00000187730","GABRD",94877.5676902777,675,92276.3674048229,693
"ENSG00000158109","TPRG1L",85268.2335782608,961,84227.4885566311,928
"ENSG00000069424","KCNAB2",101068.917955071,549,99587.5676750519,524
"ENSG00000116254","CHD5",89481.9135491798,819,87317.7459722553,825
"ENSG00000116251","RPL22",123485.810295209,227,120478.768348416,202
"ENSG00000097021","ACOT7",99836.5654207227,574,96189.2784040116,601
"ENSG00000171735","CAMTA1",86678.8103098783,908,84305.7440246573,925
"ENSG00000116288","PARK7",105077.8941894,473,102803.364913325,456
"ENSG00000171603","CLSTN1",127201.181581515,192,124507.02392139,156
"ENSG00000142634","EFHD2",75541.6232039545,1355,74526.1804818798,1337
"ENSG00000159363","ATP13A2",83717.8388058132,1024,82321.1766921007,1006
"ENSG00000117118","SDHB",61990.8384226939,2016,61370.4441966613,1996
"ENSG00000173436","MICOS10",103416.505775415,507,100675.303732516,501
"ENSG00000158747","NBL1",94958.6729352555,672,92797.4095593175,675
"ENSG00000162545","CAMK2N1",142296.58304052,100,139246.520835241,68
"ENSG00000158828","PINK1",108770.435011809,411,106476.704360624,394
"ENSG00000075151","EIF4G3",68004.3398476653,1741,67466.1572429892,1706
"ENSG00000076864","RAP1GAP",89124.1615976198,829,87722.9587016648,812
"ENSG00000070831","CDC42",89816.2361681414,807,89468.3356706769,772
"ENSG00000142676","RPL11",138374.214525716,118,132830.838578998,92
"ENSG00000057757","PITHD1",86324.460571454,916,85710.0435707633,872
"ENSG00000117632","STMN1",142870.735207052,98,135244.2438577,80
"ENSG00000130770","ATP5IF1",116029.11386552,323,107378.019890615,380
"ENSG00000134644","PUM1",66848.2722378935,1807,65347.2805614028,1815
"ENSG00000121769","FABP3",84615.6128265874,986,78923.8918378028,1134
"ENSG00000121753","ADGRB2",96559.396065494,640,94920.6629152798,625
"ENSG00000184007","PTP4A2",89849.8392076289,805,87147.6170292421,830
