"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000243485","MIR1302-2HG",152.927900307386,23648,142.30047494695,23707
"ENSG00000237613","FAM138A",0,32923.5,0,32923.5
"ENSG00000186092","OR4F5",0,32923.5,0,32923.5
"ENSG00000238009","AL627309.1",2056.37204726448,16780,2043.29145377195,16774
"ENSG00000239945","AL627309.3",41.3234643846888,27067,35.3102168353489,27203
"ENSG00000239906","AL627309.2",0,32923.5,0,32923.5
"ENSG00000241860","AL627309.5",7135.32953982056,13252,7082.4633467354,13248
"ENSG00000241599","AL627309.4",0,32923.5,0,32923.5
"ENSG00000286448","AP006222.2",0,32923.5,0,32923.5
"ENSG00000236601","AL732372.1",0,32923.5,0,32923.5
"ENSG00000284733","OR4F29",0,32923.5,0,32923.5
"ENSG00000235146","AC114498.1",0,32923.5,0,32923.5
"ENSG00000284662","OR4F16",0,32923.5,0,32923.5
"ENSG00000229905","AL669831.2",96.4282642561002,24893,94.1176088521584,24723
"ENSG00000237491","LINC01409",16497.7900243177,10175,16465.973012026,10155
"ENSG00000177757","FAM87B",351.220387426823,21525,345.038677628943,21495
"ENSG00000228794","LINC01128",32219.7726398313,6401,32181.9799264796,6372
"ENSG00000225880","LINC00115",2091.39954295683,16746,2046.87296676358,16766
"ENSG00000230368","FAM41C",3012.49703564066,15746,2989.14178399101,15743
"ENSG00000272438","AL645608.6",77.2769881753089,25530,64.4932091854897,25664
"ENSG00000230699","AL645608.2",110.993912382616,24546,106.28468703885,24460
"ENSG00000241180","AL645608.4",66.3996367036577,25717,56.3019878903961,25972
"ENSG00000223764","LINC02593",1184.19632811466,18236,1178.77583973086,18215
"ENSG00000187634","SAMD11",3805.01555943178,15072,3784.29816665567,15070
"ENSG00000188976","NOC2L",50713.0306337902,3414,50633.5007308059,3383
"ENSG00000187961","KLHL17",17908.2494443382,9764,17678.7820522468,9791
"ENSG00000187583","PLEKHN1",233.202308940763,22590,220.162734884974,22638
"ENSG00000187642","PERM1",642.76245439042,19889,631.543917149985,19885
"ENSG00000272512","AL645608.7",5630.71458713089,13970,5605.20422271768,13954
"ENSG00000188290","HES4",62814.5967553526,2199,61965.2052893191,2228
"ENSG00000187608","ISG15",47753.9946890769,3809,46824.3068868385,3888
"ENSG00000224969","AL645608.1",44.9734108827272,26551,40.473822036861,26527
"ENSG00000188157","AGRN",37161.8579292606,5462,36693.4474328166,5494
"ENSG00000242590","AL645608.5",0,32923.5,0,32923.5
"ENSG00000273443","AL645608.8",0,32923.5,0,32923.5
"ENSG00000237330","RNF223",40.1704336662458,27235,36.6383212219451,27047
"ENSG00000131591","C1orf159",24595.239795652,8064,24327.5153912636,8101
"ENSG00000285812","AL390719.3",41.6644115722148,27000,38.4824020315425,26749
"ENSG00000223823","LINC01342",20.7759010355294,29063,18.0172474623824,28889
"ENSG00000272141","AL390719.2",88.5410046930627,25100,77.7051289748709,25161
"ENSG00000205231","TTLL10-AS1",41.6034019817678,27012,35.2115125526535,27220
"ENSG00000162571","TTLL10",82.4009398363532,25228,75.7384651289623,25240
"ENSG00000186891","TNFRSF18",7755.70098043155,12982,7717.37578717585,12977
"ENSG00000186827","TNFRSF4",5561.49632383523,13993,5518.1758568344,14000
"ENSG00000078808","SDF4",65431.5959412099,2008,65227.1298477379,1980
"ENSG00000176022","B3GALT6",37819.7255481964,5333,37635.0450696103,5325
"ENSG00000184163","C1QTNF12",4571.82371449479,14566,4322.3328780868,14697
"ENSG00000260179","AL162741.1",219.779907975589,22739,212.528456434976,22720
"ENSG00000160087","UBE2J2",46497.5596027795,3963,46426.4762546226,3935
"ENSG00000230415","LINC01786",207.699789703266,22875,200.130553105584,22864
"ENSG00000162572","SCNN1D",26645.026834534,7549,26166.2637359798,7637
"ENSG00000131584","ACAP3",78066.6582258142,1281,76681.66987482,1315
"ENSG00000169972","PUSL1",20256.2019450212,9140,20028.4431528732,9168
"ENSG00000127054","INTS11",56172.1130572535,2772,55435.7506414507,2804
"ENSG00000240731","AL139287.1",74.1338401857052,25643,70.1923069151043,25538
"ENSG00000224051","CPTP",41270.8648666733,4738,40926.7990529873,4752
"ENSG00000169962","TAS1R3",1049.31246373533,18573,1042.23867673948,18552
"ENSG00000107404","DVL1",60187.334467825,2405,59944.9844370678,2388
"ENSG00000162576","MXRA8",11924.0331378685,11519,11853.0918378479,11515
"ENSG00000175756","AURKAIP1",88533.4092570043,886,86850.5406919983,898
"ENSG00000221978","CCNL2",60062.7434556188,2415,59296.5276586527,2436
"ENSG00000224870","MRPL20-AS1",17953.2497854075,9752,17788.1066565148,9765
"ENSG00000242485","MRPL20",83114.0959396268,1084,82435.56041482,1073
"ENSG00000272455","AL391244.2",4299.08073892498,14730,4292.78944644805,14718
"ENSG00000235098","ANKRD65",38200.8303535444,5262,38026.2408444552,5255
"ENSG00000225905","AL391244.1",274.120358081418,22161,244.462931450264,22368
"ENSG00000205116","TMEM88B",519.857678424326,20464,490.22489798424,20561
"ENSG00000225285","LINC01770",856.500862679901,19084,777.674184932973,19325
"ENSG00000179403","VWA1",52839.3342624795,3158,52189.2715567113,3191
"ENSG00000215915","ATAD3C",10373.0898859367,12037,10327.1608545061,12030
"ENSG00000160072","ATAD3B",27381.8596666721,7407,26990.2638676836,7445
"ENSG00000197785","ATAD3A",28248.9162281742,7200,28105.9801757332,7196
"ENSG00000205090","TMEM240",54206.607687681,2992,52178.8817852302,3192
