"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000175756","AURKAIP1",87551.0687093441,878,86594.2106352871,880
"ENSG00000242485","MRPL20",82429.3875227055,1066,82195.7296023399,1047
"ENSG00000160075","SSU72",84605.2075135427,987,84532.7426386264,966
"ENSG00000078369","GNB1",110350.660971557,388,110192.117079496,375
"ENSG00000187730","GABRD",94877.5676902777,675,93061.5806906086,698
"ENSG00000158109","TPRG1L",85268.2335782608,961,84652.8441819231,956
"ENSG00000069424","KCNAB2",101068.917955071,549,99947.371204864,551
"ENSG00000116254","CHD5",89481.9135491798,819,88705.0296382219,818
"ENSG00000116251","RPL22",123485.810295209,227,121067.451513335,232
"ENSG00000097021","ACOT7",99836.5654207227,574,97878.995410702,598
"ENSG00000171735","CAMTA1",86678.8103098783,908,85497.8728056018,908
"ENSG00000116288","PARK7",105077.8941894,473,104567.52301823,453
"ENSG00000171603","CLSTN1",127201.181581515,192,125635.628724556,180
"ENSG00000142634","EFHD2",75541.6232039545,1355,74897.7042316637,1356
"ENSG00000159363","ATP13A2",83717.8388058132,1024,83009.3202989619,1019
"ENSG00000117118","SDHB",61990.8384226939,2016,61782.8789219606,2007
"ENSG00000173436","MICOS10",103416.505775415,507,102438.018468363,498
"ENSG00000158747","NBL1",94958.6729352555,672,93691.6120071522,679
"ENSG00000162545","CAMK2N1",142296.58304052,100,141294.598673302,83
"ENSG00000158828","PINK1",108770.435011809,411,107732.860544877,406
"ENSG00000075151","EIF4G3",68004.3398476653,1741,67875.7823811878,1722
"ENSG00000076864","RAP1GAP",89124.1615976198,829,88209.0260212699,829
"ENSG00000070831","CDC42",89816.2361681414,807,89683.6205983921,796
"ENSG00000142676","RPL11",138374.214525716,118,134206.631516523,115
"ENSG00000057757","PITHD1",86324.460571454,916,86145.8064802129,893
"ENSG00000117632","STMN1",142870.735207052,98,140452.39924352,86
"ENSG00000130770","ATP5IF1",116029.11386552,323,113475.666600471,332
"ENSG00000134644","PUM1",66848.2722378935,1807,66010.0728317055,1821
"ENSG00000121769","FABP3",84615.6128265874,986,81585.7059967343,1074
"ENSG00000121753","ADGRB2",96559.396065494,640,95804.0747791666,636
"ENSG00000184007","PTP4A2",89849.8392076289,805,88430.3824144198,823
"ENSG00000175130","MARCKSL1",137769.237852736,119,134613.327490162,113
"ENSG00000134684","YARS",72800.372220068,1489,72503.4965901756,1480
"ENSG00000121905","HPCA",101403.567559019,544,100425.82309993,541
"ENSG00000020129","NCDN",133489.559651169,146,128312.78610873,155
"ENSG00000126067","PSMB2",68329.9376209558,1734,68266.5818337593,1709
"ENSG00000163875","MEAF6",64280.6005486623,1927,64124.2276632805,1905
"ENSG00000197982","C1orf122",94930.859623167,673,94561.5143024765,659
"ENSG00000168653","NDUFS5",119769.521237919,274,118546.970007424,263
"ENSG00000116983","HPCAL4",89780.3648454696,812,89536.4857536393,798
"ENSG00000131236","CAP1",70355.5736847596,1622,70218.6882212048,1597
"ENSG00000131238","PPT1",72770.7523005371,1491,72663.7647699986,1466
"ENSG00000084070","SMAP2",78000.6876617023,1240,77604.3505052026,1227
"ENSG00000117016","RIMS3",86753.6453406188,903,86344.6383168634,888
"ENSG00000117410","ATP6V0B",109721.142522961,395,108709.854607829,395
"ENSG00000142937","RPS8",147860.077229532,81,141016.817360676,85
"ENSG00000173660","UQCRH",118347.619862679,302,117930.620411917,270
"ENSG00000123472","ATPAF1",74864.3104181628,1386,74760.1273738388,1365
"ENSG00000162374","ELAVL4",77436.7579437986,1267,76223.6996550644,1295
"ENSG00000123091","RNF11",104494.600321618,484,103281.327516993,485
"ENSG00000085832","EPS15",83213.9156060825,1042,82779.4765240968,1029
"ENSG00000162378","ZYG11B",72231.4510878062,1517,71778.6499529304,1512
"ENSG00000157216","SSBP3",82800.2335665923,1055,82561.9911547313,1035
"ENSG00000116133","DHCR24",88891.7933319854,835,87962.7122660739,835
"ENSG00000116675","DNAJC6",100218.430846077,561,98683.6936448873,574
"ENSG00000172260","NEGR1",83243.4660994426,1038,82673.6652293194,1034
"ENSG00000154027","AK5",107746.347881211,426,107661.497070335,408
"ENSG00000077254","USP33",63661.3388910004,1956,63248.2855550679,1948
"ENSG00000142875","PRKACB",106723.612068853,448,104491.156305618,454
"ENSG00000117155","SSX2IP",67728.8487912267,1751,67480.9318626663,1739
"ENSG00000153904","DDAH1",95924.8364507008,655,94160.6711343246,665
"ENSG00000143013","LMO4",124133.796359885,222,122232.89171642,217
"ENSG00000189195","BTBD8",73333.8443723752,1454,72581.138616947,1470
"ENSG00000122406","RPL5",114910.729794176,335,114269.642901976,319
