"gene","gene_name","dev_default","rank_default","dev_sample","rank_sample"
"ENSG00000002330","BAD",15830.430860253,1310,15785.1230071759,1289
"ENSG00000002586","CD99",18837.2091436878,865,18616.0966932774,858
"ENSG00000004059","ARF5",15033.3197231643,1443,14985.5734236612,1417
"ENSG00000004660","CAMKK1",14586.5375663402,1506,14479.2652784697,1487
"ENSG00000004779","NDUFAB1",19859.7764726917,756,19469.7179424192,764
"ENSG00000005022","SLC25A5",16842.0334076601,1150,16739.6116038375,1131
"ENSG00000005249","PRKAR2B",10590.71038304,1957,10313.2449765776,1972
"ENSG00000005379","TSPOAP1",11556.5558011975,1877,11426.5345486382,1870
"ENSG00000005486","RHBDD2",26775.0083671285,298,26343.7153790769,289
"ENSG00000005513","SOX8",15253.5285889466,1401,15087.8729038669,1395
"ENSG00000005810","MYCBP2",13689.1504401919,1612,13505.6790777312,1614
"ENSG00000005882","PDK2",13521.7385932906,1635,13459.1394344904,1619
"ENSG00000005893","LAMP2",22246.3680289136,542,22006.3495707991,526
"ENSG00000006007","GDE1",14628.8666494253,1498,14564.3877678494,1477
"ENSG00000006015","REX1BD",17546.3873632413,1035,17360.3777048601,1027
"ENSG00000006116","CACNG3",16995.7379084986,1121,16685.9374451976,1140
"ENSG00000006125","AP2B1",18648.2400712876,889,18325.2698246552,890
"ENSG00000006128","TAC1",54091.8177072824,42,53502.0574074079,39
"ENSG00000006210","CX3CL1",16056.4484768936,1279,15656.1560343064,1310
"ENSG00000006652","IFRD1",11538.4373796658,1879,11193.1895872229,1892
"ENSG00000007168","PAFAH1B1",20103.4124830079,730,19897.458656373,717
"ENSG00000007237","GAS7",15837.6706548244,1306,15589.0776192995,1323
"ENSG00000007516","BAIAP3",13261.4070106158,1672,13127.9655937822,1667
"ENSG00000008018","PSMB1",16478.0219759547,1205,16469.9535646328,1181
"ENSG00000008056","SYN1",29974.5116715424,203,28951.342202668,206
"ENSG00000008277","ADAM22",13036.8888887649,1701,12771.3844911887,1713
"ENSG00000008294","SPAG9",15128.7000426259,1427,15020.4758176672,1409
"ENSG00000008710","PKD1",16616.714793038,1182,16451.4542942231,1182
"ENSG00000008735","MAPK8IP2",20468.194988013,684,20223.3326033083,682
"ENSG00000008988","RPS20",24092.9904399219,419,24052.0557258536,391
"ENSG00000010256","UQCRC1",17297.64916892,1068,17274.6409886433,1041
"ENSG00000010278","CD9",21585.3263816025,586,21495.8629142333,568
"ENSG00000010282","HHATL",14247.131144597,1559,13893.4383229291,1574
"ENSG00000010322","NISCH",18509.4892764673,904,18343.6072881069,888
"ENSG00000010404","IDS",34920.3158364207,129,34263.0976433574,117
"ENSG00000011009","LYPLA2",11026.8873427805,1924,10993.5746320704,1911
"ENSG00000011295","TTC19",12525.1047263533,1779,12472.9647398481,1760
"ENSG00000011347","SYT7",12451.9225041951,1787,12280.5377502019,1785
"ENSG00000011426","ANLN",14847.9313637454,1463,14754.900470372,1448
"ENSG00000012171","SEMA3B",15090.4222027837,1433,14966.2680319337,1422
"ENSG00000012232","EXTL3",10457.1353951991,1971,10332.1446989314,1970
"ENSG00000013016","EHD3",15168.3392970163,1414,15057.1747466982,1404
"ENSG00000013293","SLC7A14",12549.5892451754,1777,12329.364487762,1776
"ENSG00000013297","CLDN11",29577.2977032658,210,29053.0477537757,202
"ENSG00000013441","CLK1",14882.0616448866,1460,14182.5801958294,1533
"ENSG00000014641","MDH1",32443.2883338797,153,32008.094907357,145
"ENSG00000015592","STMN4",20038.4927630082,735,19643.2013197537,744
"ENSG00000015676","NUDCD3",15708.9381717017,1332,15575.0615130465,1324
"ENSG00000018189","RUFY3",17938.9000760784,976,17803.2499930265,961
"ENSG00000018236","CNTN1",25116.152397262,360,24372.408318183,375
"ENSG00000018625","ATP1A2",28832.3219198519,230,28454.2256887919,221
"ENSG00000019144","PHLDB1",17407.1088850055,1052,17237.9204273223,1051
"ENSG00000019505","SYT13",16635.8192521811,1177,16437.3055263089,1183
"ENSG00000019582","CD74",27611.4676422268,271,26914.0944318485,274
"ENSG00000020129","NCDN",78127.116181156,23,77150.3465298069,23
"ENSG00000021300","PLEKHB1",30860.2326459685,184,30278.8214158747,179
"ENSG00000021645","NRXN3",12407.0100181338,1792,12320.5428022224,1778
"ENSG00000022267","FHL1",20466.6131847391,685,20295.419438914,673
"ENSG00000022355","GABRA1",17629.7630841321,1022,16975.3601288669,1088
"ENSG00000023171","GRAMD1B",12080.1157071953,1826,11931.2954745464,1825
"ENSG00000023191","RNH1",14659.6884441684,1490,14644.1094601719,1464
"ENSG00000023228","NDUFS1",14576.6116946172,1508,14561.2960886899,1479
"ENSG00000023516","AKAP11",15466.5509637152,1362,15078.9403946557,1397
"ENSG00000023734","STRAP",16635.2701980447,1178,16569.9712728204,1155
"ENSG00000024862","CCDC28A",10847.5596201508,1938,10766.6884099836,1936
"ENSG00000025772","TOMM34",16182.0902014153,1250,16024.6738861458,1250
"ENSG00000026025","VIM",25129.3359804369,358,25003.2079490104,341
"ENSG00000028839","TBPL1",10022.4062377068,2002,9996.8499380828,1994
"ENSG00000031698","SARS",18308.7989032328,927,18228.7982509886,906
"ENSG00000033122","LRRC7",12236.9704961391,1807,11968.1114290826,1818
"ENSG00000033627","ATP6V0A1",21151.0208180553,619,20515.8771227966,658
"ENSG00000034053","APBA2",21031.6280462708,635,20640.0819086747,645
"ENSG00000034510","TMSB10",67639.8130492887,30,66270.6010823196,28
"ENSG00000034713","GABARAPL2",24119.2022764022,418,23949.2113269138,401
"ENSG00000035862","TIMP2",20130.0886802476,727,19882.3722293518,719
"ENSG00000036530","CYP46A1",20574.6876234517,674,20150.8896222039,694
"ENSG00000037042","TUBG2",13535.480621878,1632,13520.3067076322,1610
"ENSG00000038382","TRIO",11608.3194803278,1872,11535.6001344523,1861
"ENSG00000040608","RTN4R",11248.506457785,1902,11009.6846336303,1905
"ENSG00000040933","INPP4A",10971.1569775325,1925,10871.4237563213,1927
"ENSG00000041357","PSMA4",14561.4053711117,1511,14524.3060408065,1484
"ENSG00000042753","AP2S1",20722.79679097,665,20561.1767025485,652
"ENSG00000044115","CTNNA1",14913.7108482615,1457,14888.3021478305,1433
"ENSG00000044574","HSPA5",16386.2895504929,1218,16318.0289553754,1201
"ENSG00000046653","GPM6B",31415.5509051358,175,30429.2253711386,175
"ENSG00000047249","ATP6V1H",25348.2612046101,349,24955.4764291752,344
"ENSG00000047849","MAP4",22972.4997579796,473,22360.9530784712,488
"ENSG00000048540","LMO3",18868.7191906058,862,18571.4977016568,863
"ENSG00000048740","CELF2",15921.1443995492,1296,15622.4462768543,1318
"ENSG00000049759","NEDD4L",12562.2331655586,1775,12317.5229712278,1780
"ENSG00000050165","DKK3",34428.9243551266,133,33677.4364308282,129
"ENSG00000050748","MAPK9",14275.0417535974,1551,14175.9784965352,1536
"ENSG00000051596","THOC3",11661.3449898276,1866,11552.0646273564,1855
"ENSG00000052802","MSMO1",15293.8763252718,1393,15274.7296012752,1366
"ENSG00000053438","NNAT",35795.2050727694,109,34928.3967824211,108
"ENSG00000054148","PHPT1",19927.208446311,744,19788.4717353758,726
"ENSG00000054356","PTPRN",24797.4428829668,385,23982.8359455948,397
"ENSG00000054523","KIF1B",20112.4752404212,728,19816.2735803529,725
"ENSG00000054690","PLEKHH1",20902.1448200607,648,20463.1881344132,662
"ENSG00000054793","ATP9A",20044.4157090339,734,19415.9597713051,774
"ENSG00000055163","CYFIP2",21788.4850479516,574,21307.9961462497,581
"ENSG00000055813","CCDC85A",8891.13073200561,2057,8673.78206178973,2057
"ENSG00000057757","PITHD1",17613.1880465279,1026,17577.5377361395,995
"ENSG00000058091","CDK14",16309.8071035871,1233,16093.1732848552,1232
"ENSG00000058335","RASGRF1",14935.8178624208,1453,14643.9717412902,1465
"ENSG00000058404","CAMK2B",33041.7728262781,148,31850.9042967157,146
"ENSG00000058668","ATP2B4",17340.2177563347,1062,16722.5864980429,1134
"ENSG00000058866","DGKG",9416.66312710699,2044,9319.27841175696,2034
"ENSG00000059758","CDK17",14603.9418408262,1502,14370.4204231447,1509
"ENSG00000059804","SLC2A3",16914.8857313428,1137,16360.1000529627,1195
"ENSG00000059915","PSD",26301.7403716656,313,26162.4894216199,296
"ENSG00000060709","RIMBP2",10219.7377635949,1990,10136.3305137279,1986
"ENSG00000061676","NCKAP1",22768.7181432339,492,22112.7810739816,516
"ENSG00000061918","GUCY1B1",15159.2678789451,1419,14982.5016844829,1420
"ENSG00000063015","SEZ6",9758.47794367784,2020,9597.42860355903,2014
"ENSG00000063177","RPL18",27473.8643013593,278,27122.0433792767,265
"ENSG00000063180","CA11",19602.6606136822,785,19516.9177940372,759
"ENSG00000063245","EPN1",15436.9043181141,1363,15413.6539173567,1340
"ENSG00000063854","HAGH",21103.5183061157,624,20949.7292735625,603
"ENSG00000064393","HIPK2",18374.9720514475,921,18032.8709324278,933
"ENSG00000064607","SUGP2",15261.3333014477,1399,15104.4010690794,1392
"ENSG00000064651","SLC12A2",14859.8873826496,1462,14750.8028335335,1449
"ENSG00000064787","BCAS1",21365.1883961384,603,20848.820945064,616
"ENSG00000065000","AP3D1",14834.0017893469,1465,14706.3001914901,1456
"ENSG00000065154","OAT",16922.6407862206,1135,16879.8239166498,1104
"ENSG00000065518","NDUFB4",21779.2856137638,575,21488.7758824668,569
"ENSG00000065548","ZC3H15",14523.2424696626,1516,14463.0431328748,1490
"ENSG00000065559","MAP2K4",16978.8634784202,1125,16707.8576955402,1136
"ENSG00000065609","SNAP91",20296.4639368179,711,19901.7611602262,716
"ENSG00000065809","FAM107B",13729.7486063055,1608,13678.6825995311,1592
"ENSG00000066032","CTNNA2",15096.9272487994,1431,15063.1701304371,1402
"ENSG00000066248","NGEF",9567.28434896767,2033,9408.6855138379,2029
"ENSG00000066322","ELOVL1",16774.2950395051,1161,16756.0382066971,1130
"ENSG00000066468","FGFR2",17397.1692254448,1055,17341.6960596758,1030
"ENSG00000067057","PFKP",20149.8000558947,725,19540.2096902359,757
"ENSG00000067064","IDI1",17115.9879914749,1097,16814.490884908,1120
"ENSG00000067191","CACNB1",12316.0266126811,1799,12152.2711953026,1795
"ENSG00000067221","STOML1",12750.1888052868,1742,12601.0170417869,1738
"ENSG00000067225","PKM",27820.6627824666,263,27670.6576627994,246
"ENSG00000067560","RHOA",20288.9380696387,713,20199.9331172859,687
"ENSG00000067606","PRKCZ",17597.8577093554,1028,17540.3547009254,998
"ENSG00000067715","SYT1",40416.3314843768,82,38301.5822874233,86
"ENSG00000067829","IDH3G",16143.990803579,1256,15994.662382403,1253
"ENSG00000067836","ROGDI",19210.8360957786,827,19125.1120913009,805
"ENSG00000067840","PDZD4",18167.3819123245,947,17888.8759408442,951
"ENSG00000067842","ATP2B3",10241.3869332922,1987,10152.4747060552,1984
"ENSG00000067992","PDK3",11076.0359880374,1916,10961.4594299061,1916
"ENSG00000068078","FGFR3",18954.0321897078,855,18914.6914165528,829
"ENSG00000068366","ACSL4",14022.7800594136,1585,13715.765159902,1590
"ENSG00000068615","REEP1",10606.4995999769,1956,10491.0821820748,1957
"ENSG00000068903","SIRT2",22245.3532073889,543,22096.7722588636,518
"ENSG00000069275","NUCKS1",21103.8076200476,623,20799.4442271287,621
"ENSG00000069329","VPS35",16751.5678380123,1167,16538.5191335528,1165
"ENSG00000069424","KCNAB2",21951.8186329893,564,21780.3382567804,547
"ENSG00000069535","MAOB",12163.8435903571,1815,12119.3892948243,1798
"ENSG00000070087","PFN2",28309.2101456728,250,27448.1719609525,251
"ENSG00000070214","SLC44A1",20847.7733882604,655,20626.4084078507,647
"ENSG00000070413","DGCR2",14424.3239212444,1531,14372.7779879527,1508
"ENSG00000070718","AP3M2",11643.0891151547,1869,11586.2705660162,1853
"ENSG00000070808","CAMK2A",29453.4096588071,213,29099.7165146006,200
"ENSG00000070831","CDC42",18399.0066142596,916,18257.0154893298,900
"ENSG00000070961","ATP2B1",22957.3081808002,476,21511.0273786381,566
"ENSG00000071054","MAP4K4",13545.7618639294,1630,13401.3122774016,1629
"ENSG00000071082","RPL31",26837.0581584218,297,26780.6318962535,281
"ENSG00000071127","WDR1",15069.9343439871,1438,14985.1816140802,1418
"ENSG00000071553","ATP6AP1",19295.9829658572,817,19078.6947110926,808
"ENSG00000072062","PRKACA",12782.4787603103,1737,12638.3197770747,1732
"ENSG00000072071","ADGRL1",15073.3801790492,1437,14736.6796058637,1452
"ENSG00000072110","ACTN1",10522.1926775584,1964,10336.8078870391,1967
"ENSG00000072274","TFRC",12247.3538711697,1805,11645.8059915398,1849
"ENSG00000072657","TRHDE",8465.66406398948,2067,8275.7437510198,2066
"ENSG00000072778","ACADVL",14836.8281032935,1464,14802.5649268031,1438
"ENSG00000072832","CRMP1",19785.5644018311,765,19397.9151751481,775
"ENSG00000073670","ADAM11",14188.0669566569,1566,13979.2056521029,1566
"ENSG00000073910","FRY",9602.42245657093,2032,9413.80137513026,2028
