"","source","type","gene_id","gene_version","gene_name","gene_type"
"ENSG00000002330","HAVANA","gene","ENSG00000002330","13","BAD","protein_coding"
"ENSG00000002586","HAVANA","gene","ENSG00000002586","20","CD99","protein_coding"
"ENSG00000004059","HAVANA","gene","ENSG00000004059","11","ARF5","protein_coding"
"ENSG00000004660","HAVANA","gene","ENSG00000004660","15","CAMKK1","protein_coding"
"ENSG00000004779","HAVANA","gene","ENSG00000004779","10","NDUFAB1","protein_coding"
"ENSG00000005022","HAVANA","gene","ENSG00000005022","6","SLC25A5","protein_coding"
"ENSG00000005249","HAVANA","gene","ENSG00000005249","13","PRKAR2B","protein_coding"
"ENSG00000005379","HAVANA","gene","ENSG00000005379","17","TSPOAP1","protein_coding"
"ENSG00000005486","HAVANA","gene","ENSG00000005486","17","RHBDD2","protein_coding"
"ENSG00000005513","HAVANA","gene","ENSG00000005513","10","SOX8","protein_coding"
"ENSG00000005810","HAVANA","gene","ENSG00000005810","18","MYCBP2","protein_coding"
"ENSG00000005882","HAVANA","gene","ENSG00000005882","12","PDK2","protein_coding"
"ENSG00000005893","HAVANA","gene","ENSG00000005893","15","LAMP2","protein_coding"
"ENSG00000006007","HAVANA","gene","ENSG00000006007","12","GDE1","protein_coding"
"ENSG00000006015","HAVANA","gene","ENSG00000006015","17","REX1BD","protein_coding"
"ENSG00000006116","HAVANA","gene","ENSG00000006116","3","CACNG3","protein_coding"
"ENSG00000006125","HAVANA","gene","ENSG00000006125","18","AP2B1","protein_coding"
"ENSG00000006128","HAVANA","gene","ENSG00000006128","12","TAC1","protein_coding"
"ENSG00000006210","HAVANA","gene","ENSG00000006210","7","CX3CL1","protein_coding"
"ENSG00000006652","HAVANA","gene","ENSG00000006652","14","IFRD1","protein_coding"
"ENSG00000007168","HAVANA","gene","ENSG00000007168","13","PAFAH1B1","protein_coding"
"ENSG00000007237","HAVANA","gene","ENSG00000007237","18","GAS7","protein_coding"
"ENSG00000007516","HAVANA","gene","ENSG00000007516","13","BAIAP3","protein_coding"
"ENSG00000008018","HAVANA","gene","ENSG00000008018","9","PSMB1","protein_coding"
"ENSG00000008056","HAVANA","gene","ENSG00000008056","14","SYN1","protein_coding"
"ENSG00000008277","HAVANA","gene","ENSG00000008277","14","ADAM22","protein_coding"
"ENSG00000008294","HAVANA","gene","ENSG00000008294","21","SPAG9","protein_coding"
"ENSG00000008710","HAVANA","gene","ENSG00000008710","19","PKD1","protein_coding"
"ENSG00000008735","HAVANA","gene","ENSG00000008735","14","MAPK8IP2","protein_coding"
"ENSG00000008988","HAVANA","gene","ENSG00000008988","9","RPS20","protein_coding"
"ENSG00000010256","HAVANA","gene","ENSG00000010256","11","UQCRC1","protein_coding"
"ENSG00000010278","HAVANA","gene","ENSG00000010278","14","CD9","protein_coding"
