"","source","type","gene_id","gene_version","gene_name","gene_type","gene_search","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj","file"
"1","HAVANA","gene","ENSG00000175756",13,"AURKAIP1","protein_coding","AURKAIP1; ENSG00000175756",0.00215524267826801,0.2225895563288,0.0178762022307367,-11382.3623782791,8.31,0.256593476178454,0.224754999509571,0.180926623704816,0.00958973327876756,-11389.4111672821,14.0975780061126,1123,0.000868460023193629,0.00172763997490166,"nnSVG_V13F27-338.csv"
"2","HAVANA","gene","ENSG00000242485",6,"MRPL20","protein_coding","MRPL20; ENSG00000242485",0.00228220681460345,0.217113588455086,7.41891982110848,-11178.926687498,6.65600000000001,0.255628329233985,0.21940662816351,0.186882449306412,0.0104022358851412,-11185.4785418895,13.1037087829973,1156,0.00142746606149879,0.00275742681519282,"nnSVG_V13F27-338.csv"
"3","HAVANA","gene","ENSG00000160075",12,"SSU72","protein_coding","SSU72; ENSG00000160075",0.00263262456755243,0.236317943923708,0.00100324818747125,-11899.1570032477,7.63500000000002,0.286517565118263,0.238970860213343,0.179078403154168,0.0110174442529051,-11908.7288935925,19.1437806895447,952,6.96595784366316e-05,0.0001634658594826,"nnSVG_V13F27-338.csv"
"4","HAVANA","gene","ENSG00000078369",18,"GNB1","protein_coding","GNB1; ENSG00000078369",0.0116363255717808,0.529863656675772,3.94165547037527e-05,-18802.8379028684,7.10500000000002,0.72601533423923,0.541568101787434,0.148580610453561,0.0214890599321591,-18836.2209841697,66.7661626024128,432,3.21964677141295e-15,1.66497474243901e-14,"nnSVG_V13F27-338.csv"
"5","HAVANA","gene","ENSG00000187730",9,"GABRD","protein_coding","GABRD; ENSG00000187730",0.00644443479117084,0.289845203885392,2.64268116177855e-07,-13696.1497909434,7.08099999999999,0.363526251375007,0.296319904588144,0.220829270963868,0.0217504561413494,-13730.0712828023,67.8429837178519,430,1.88737914186277e-15,9.80559303004981e-15,"nnSVG_V13F27-338.csv"
"6","HAVANA","gene","ENSG00000158109",15,"TPRG1L","protein_coding","TPRG1L; ENSG00000158109",0.00397969583838606,0.236582662774453,1.23868449128035e-06,-11945.2453035944,6.553,0.296125195694571,0.240580206210054,0.213034322680556,0.016543302374213,-11965.5619999711,40.6333927534215,625,1.50165746504172e-09,5.36752444304511e-09,"nnSVG_V13F27-338.csv"
"7","HAVANA","gene","ENSG00000069424",15,"KCNAB2","protein_coding","KCNAB2; ENSG00000069424",0.00361783635210616,0.328303442614481,4.0859471420014e-06,-14682.1155470557,7.61099999999999,0.405516810857198,0.33195552259192,0.148325423276322,0.0108996818865306,-14691.6521187276,19.073143343725,954,7.21638253280421e-05,0.000168987406480971,"nnSVG_V13F27-338.csv"
"8","HAVANA","gene","ENSG00000116254",18,"CHD5","protein_coding","CHD5; ENSG00000116254",0.00236193968198361,0.246894413251622,0.000203455828790717,-12259.0452703396,8.37899999999996,0.29352454979108,0.249275463552835,0.165573172673467,0.00947594576501228,-12266.2008636313,14.3111865832871,1116,0.000780486361947275,0.00156237144497331,"nnSVG_V13F27-338.csv"
"9","HAVANA","gene","ENSG00000116251",11,"RPL22","protein_coding","RPL22; ENSG00000116251",0.00372535253679959,0.517989558271818,0.031470102067293,-18516.4289806304,7.15000000000003,0.628982212163857,0.521761940796453,0.0970387793549116,0.0071405905018616,-18520.7440185777,8.63007589462359,1382,0.0133660422711307,0.0216061783167192,"nnSVG_V13F27-338.csv"
"10","HAVANA","gene","ENSG00000097021",19,"ACOT7","protein_coding","ACOT7; ENSG00000097021",0.00968765859223178,0.319049110654851,1.8708140474746e-05,-14551.3444137232,6.827,0.412783514517107,0.328798128684263,0.238444367591416,0.0294693490308972,-14610.7280516319,118.767275817456,245,0,0,"nnSVG_V13F27-338.csv"
